1,H,水素
2,He,ヘリウム
3,Li,リチウム
4,Be,ベリリウム
5,B,ホウ素
6,C,炭素
7,N,窒素
8,O,酸素
9,F,フッ素
10,Ne,ネオン
11,Na,ナトリウム
12,Mg,マグネシウム
13,Al,アルミニウム
14,Si,ケイ素
15,P,リン
16,S,硫黄
17,Cl,塩素
18,Ar,アルゴン
19,K,カリウム
20,Ca,カルシウム
21,Sc,スカンジウム
22,Ti,チタン
23,V,バナジウム
24,Cr,クロム
25,Mn,マンガン
26,Fe,鉄
27,Co,コバルト
28,Ni,ニッケル
29,Cu,銅
30,Zn,亜鉛
31,Ga,ガリウム
32,Ge,ゲルマニウム
33,As,ヒ素
34,Se,セレン
35,Br,臭素
36,Kr,クリプトン
37,Rb,ルビジウム
38,Sr,ストロンチウム
39,Y,イットリウム
40,Zr,ジルコニウム
41,Nb,ニオブ
42,Mo,モリブデン
43,Tc,テクネチウム
44,Ru,ルテニウム
45,Rh,ロジウム
46,Pd,パラジウム
47,Ag,銀
48,Cd,カドミウム
49,In,インジウム
50,Sn,スズ
51,Sb,アンチモン
52,Te,テルル
53,I,ヨウ素
54,Xe,キセノン
55,Cs,セシウム
56,Ba,バリウム
57,La,ランタン
58,Ce,セリウム
59,Pr,プラセオジム
60,Nd,ネオジム
61,Pm,プロメチウム
62,Sm,サマリウム
63,Eu,ユウロピウム
64,Gd,ガドリニウム
65,Tb,テルビウム
66,Dy,ジスプロシウム
67,Ho,ホルミウム
68,Er,エルビウム
69,Tm,ツリウム
70,Yb,イッテルビウム
71,Lu,ルテチウム
72,Hf,ハフニウム
73,Ta,タンタル
74,W,タングステン
75,Re,レニウム
76,Os,オスミウム
77,Ir,イリジウム
78,Pt,白金
79,Au,金
80,Hg,水銀
81,Tl,タリウム
82,Pb,鉛
83,Bi,ビスマス
84,Po,ポロニウム
85,At,アスタチン
86,Rn,ラドン
87,Fr,フランシウム
88,Ra,ラジウム
89,Ac,アクチニウム
90,Th,トリウム
91,Pa,プロトアクチニウム
92,U,ウラン
93,Np,ネプツニウム
94,Pu,プルトニウム
95,Am,アメリシウム
96,Cm,キュリウム
97,Bk,バークリウム
98,Cf,カリホルニウム
99,Es,アインスタイニウム
100,Fm,フェルミウム
101,Md,メンデレビウム
102,No,ノーベリウム
103,Lr,ローレンシウム
104,Rf,ラザホージウム
105,Db,ドブニウム
106,Sg,シーボーギウム
107,Bh,ボーリウム
108,Hs,ハッシウム
109,Mt,マイトネリウム
110,Ds,ダームスタチウム
111,Rg,レントゲニウム
112,Cn,コペルニシウム
113,Nh,ニホニウム
114,Fl,フレロビウム
115,Mc,モスコビウム
116,Lv,リバモリウム
117,Ts,テネシン
118,Og,オガネソン
